scenario,model_label,missing_ratio,num_epochs,epochs_ran,best_epoch,selected_model_epoch,early_stopped,early_stopping_patience,early_stopping_min_delta,initial_weights_path,objective,final_train_loss,final_test_loss,best_test_loss,mse,rmse,mae,bias,quantile_loss,median_mse,median_rmse,median_mae,coverage_80,coverage_90,interval_width_80,interval_width_90,iqn_train_samples,iqn_eval_samples,iqn_tau_embedding_dim,iqn_quantiles,num_windows,num_points
A,GRU base,0.0,1000,337,287,287,True,50,0.0,,baseline ideal,0.389657199382782,0.35645581036806107,0.35645581036806107,0.05834537371993065,0.24154787045207135,0.1969950944185257,0.030542463064193726,,,,,,,,,0,0,0,,1328.0,265600.0
B,GRU base,0.1,1000,196,146,146,True,50,0.0,,robustez,0.4802870750427246,0.40063080191612244,0.40063080191612244,0.06600026786327362,0.2569051729009629,0.20638658106327057,0.025659427046775818,,,,,,,,,0,0,0,,1328.0,238951.0
C,GRU base,0.3,1000,140,90,90,True,50,0.0,,degradacao principal,0.6239899396896362,0.5016784345110258,0.5016784345110258,0.08341445028781891,0.28881559910749094,0.22946697473526,0.04104006662964821,,,,,,,,,0,0,0,,1328.0,186081.0
D,GRU base,0.5,1000,334,284,284,True,50,0.0,,degradacao severa,0.6239962577819824,0.47690942386786145,0.47690942386786145,0.0695573166012764,0.26373721125634964,0.21199826896190643,0.021030288189649582,,,,,,,,,0,0,0,,1326.0,132454.0
E,GRU temporal,0.0,1000,340,290,290,True,50,0.0,,controle,0.23842716217041016,0.21496376767754555,0.21496376767754555,0.03548259660601616,0.18836824734019308,0.14956459403038025,0.009542538784444332,,,,,,,,,0,0,0,,1328.0,265600.0
F,GRU temporal,0.1,1000,756,706,706,True,50,0.0,,robustez,0.172978475689888,0.1902126781642437,0.1902126781642437,0.03122827410697937,0.17671523450732643,0.13885533809661865,0.02611965499818325,,,,,,,,,0,0,0,,1328.0,238951.0
G,GRU temporal,0.3,1000,664,614,614,True,50,0.0,,recuperacao principal,0.1591622680425644,0.17500201674799123,0.17500201674799123,0.02880951762199402,0.16973366673112916,0.13281050324440002,-0.002551722340285778,,,,,,,,,0,0,0,,1328.0,186081.0
H,GRU temporal,0.5,1000,630,580,580,True,50,0.0,,robustez severa,0.15069058537483215,0.21095861991246542,0.21095861991246542,0.033069219440221786,0.18184944168245826,0.1444806158542633,0.0015899055870249867,,,,,,,,,0,0,0,,1326.0,132454.0
I,GRU temporal IQN,0.0,1000,869,819,819,True,50,0.0,,IQN controle,0.11552783846855164,0.10930230095982552,0.10930230095982552,0.02594483271241188,0.16107399762969776,0.12503479421138763,-0.00029856577748432755,0.030407538637518883,0.02594483271241188,0.16107399762969776,0.12503479421138763,0.7679743975903615,0.8758546686746987,0.3871776759624481,0.506743311882019,8,100,64,"0.05,0.10,0.50,0.90,0.95",1328.0,265600.0
J,GRU temporal IQN,0.1,1000,976,926,926,True,50,0.0,,IQN robustez,0.10765379667282104,0.10951471949617068,0.10951471949617068,0.024876631796360016,0.1577232760132759,0.12395395338535309,0.007860750891268253,0.029892249032855034,0.024876631796360016,0.1577232760132759,0.12395395338535309,0.7282664646726735,0.8564475561935292,0.3473951518535614,0.4589686393737793,8,100,64,"0.05,0.10,0.50,0.90,0.95",1328.0,238951.0
K,GRU temporal IQN,0.3,1000,342,292,292,True,50,0.0,,IQN recuperacao principal,0.14892232418060303,0.1408247264722983,0.1408247264722983,0.04233456403017044,0.20575364888664902,0.1633666604757309,-0.0131498072296381,0.03871016576886177,0.04233456403017044,0.20575364888664902,0.1633666604757309,0.786668171387729,0.8936054728854639,0.5110631585121155,0.6647909879684448,8,100,64,"0.05,0.10,0.50,0.90,0.95",1328.0,186081.0
L,GRU temporal IQN,0.5,1000,590,540,540,True,50,0.0,,IQN robustez severa,0.11354827135801315,0.1291943055888017,0.1291943055888017,0.0323946550488472,0.17998515230109177,0.14262861013412476,0.01837202161550522,0.03430071845650673,0.0323946550488472,0.17998515230109177,0.14262861013412476,0.7136364322708261,0.8395744937865222,0.3876379430294037,0.5028057098388672,8,100,64,"0.05,0.10,0.50,0.90,0.95",1326.0,132454.0
